&,-l -> <1>,<2>,cd	confidence:0.8136645962732919
&,<2>,ll,vi -> <1>	confidence:1.0
&,<1>,ll,vi -> <2>	confidence:0.8979591836734694
&,ll,vi -> <1>,<2>	confidence:0.8979591836734694
&,<2>,ls,rm -> <1>	confidence:1.0
&,<2>,mv,rm -> <1>	confidence:1.0
&,<1>,mv,rm -> <2>	confidence:1.0
&,mv,rm -> <1>,<2>	confidence:1.0
&,<2>,mv,vi -> <1>	confidence:1.0
&,<1>,mv,vi -> <2>	confidence:1.0
&,mv,vi -> <1>,<2>	confidence:1.0
&,<2>,rm,vi -> <1>	confidence:1.0
&,<1>,rm,vi -> <2>	confidence:0.8860759493670886
&,rm,vi -> <1>,<2>	confidence:0.8860759493670886
&,>,cd,rm -> <1>	confidence:1.0
&,<1>,>,rm -> cd	confidence:0.991869918699187
&,>,rm -> <1>,cd	confidence:0.991869918699187
&,cd,ll,rm -> <1>	confidence:1.0
&,<1>,ll,rm -> cd	confidence:0.9927536231884058
&,ll,rm -> <1>,cd	confidence:0.9927536231884058
&,cd,ll,vi -> <1>	confidence:1.0
&,<1>,ll,vi -> cd	confidence:0.9931972789115646
&,ll,vi -> <1>,cd	confidence:0.9931972789115646
&,cd,ls,rm -> <1>	confidence:1.0
&,<1>,ls,rm -> cd	confidence:0.9622641509433962
&,ls,rm -> <1>,cd	confidence:0.9622641509433962
&,cd,ls,vi -> <1>	confidence:1.0
&,<1>,ls,vi -> cd	confidence:0.9705882352941176
&,ls,vi -> <1>,cd	confidence:0.9705882352941176
&,cd,mv,rm -> <1>	confidence:1.0
&,<1>,mv,rm -> cd	confidence:0.9912280701754386
&,mv,rm -> <1>,cd	confidence:0.9912280701754386
&,cd,mv,vi -> <1>	confidence:1.0
&,<1>,mv,vi -> cd	confidence:0.9739130434782609
&,mv,vi -> <1>,cd	confidence:0.9739130434782609
&,cd,rm,vi -> <1>	confidence:1.0
&,<1>,rm,vi -> cd	confidence:0.9810126582278481
&,rm,vi -> <1>,cd	confidence:0.9810126582278481
&,cd,ll,rm -> <2>	confidence:0.927007299270073
&,<2>,ll,rm -> cd	confidence:1.0
&,ll,rm -> <2>,cd	confidence:0.9202898550724637
&,cd,ll,vi -> <2>	confidence:0.8972602739726028
&,<2>,ll,vi -> cd	confidence:0.9924242424242424
&,ll,vi -> <2>,cd	confidence:0.891156462585034
&,cd,ls,rm -> <2>	confidence:0.8104575163398693
&,<2>,ls,rm -> cd	confidence:0.9763779527559056
&,cd,mv,rm -> <2>	confidence:1.0
&,<2>,mv,rm -> cd	confidence:0.9912280701754386
&,mv,rm -> <2>,cd	confidence:0.9912280701754386
&,cd,mv,vi -> <2>	confidence:1.0
&,<2>,mv,vi -> cd	confidence:0.9739130434782609
&,mv,vi -> <2>,cd	confidence:0.9739130434782609
&,cd,rm,vi -> <2>	confidence:0.8903225806451613
&,<2>,rm,vi -> cd	confidence:0.9857142857142858
&,rm,vi -> <2>,cd	confidence:0.8734177215189873
-,<2>,cd,cp -> <1>	confidence:1.0
-,<1>,cd,cp -> <2>	confidence:0.9915254237288136
-,cd,cp -> <1>,<2>	confidence:0.9915254237288136
-,<1>,<2>,cp -> cd	confidence:1.0
-,<2>,cp -> <1>,cd	confidence:1.0
-,<1>,cp -> <2>,cd	confidence:0.9915254237288136
-,cp -> <1>,<2>,cd	confidence:0.9915254237288136
-,<2>,cd,grep -> <1>	confidence:1.0
-,<1>,cd,grep -> <2>	confidence:1.0
-,cd,grep -> <1>,<2>	confidence:1.0
-,<1>,<2>,grep -> cd	confidence:1.0
-,<2>,grep -> <1>,cd	confidence:1.0
-,<1>,grep -> <2>,cd	confidence:1.0
-,grep -> <1>,<2>,cd	confidence:1.0
-,<2>,cd,k -> <1>	confidence:1.0
-,<1>,cd,k -> <2>	confidence:0.9516129032258065
-,cd,k -> <1>,<2>	confidence:0.9516129032258065
-,<1>,<2>,k -> cd	confidence:1.0
-,<2>,k -> <1>,cd	confidence:1.0
-,<1>,k -> <2>,cd	confidence:0.9516129032258065
-,k -> <1>,<2>,cd	confidence:0.9516129032258065
-,<2>,cd,ll -> <1>	confidence:1.0
-,<1>,cd,ll -> <2>	confidence:0.9497716894977168
-,cd,ll -> <1>,<2>	confidence:0.9497716894977168
-,<1>,<2>,ll -> cd	confidence:1.0
-,<2>,ll -> <1>,cd	confidence:1.0
-,<1>,ll -> <2>,cd	confidence:0.9497716894977168
-,ll -> <1>,<2>,cd	confidence:0.9497716894977168
-,<2>,cd,ls -> <1>	confidence:1.0
-,<1>,cd,ls -> <2>	confidence:0.9603174603174603
-,cd,ls -> <1>,<2>	confidence:0.9603174603174603
-,<1>,<2>,ls -> cd	confidence:1.0
-,<2>,ls -> <1>,cd	confidence:1.0
-,<1>,ls -> <2>,cd	confidence:0.952755905511811
-,ls -> <1>,<2>,cd	confidence:0.952755905511811
-,<2>,cd,m -> <1>	confidence:1.0
-,<1>,cd,m -> <2>	confidence:0.959731543624161
-,cd,m -> <1>,<2>	confidence:0.959731543624161
-,<1>,<2>,m -> cd	confidence:1.0
-,<2>,m -> <1>,cd	confidence:1.0
-,<1>,m -> <2>,cd	confidence:0.959731543624161
-,m -> <1>,<2>,cd	confidence:0.959731543624161
-,<2>,cd,mv -> <1>	confidence:1.0
-,<1>,cd,mv -> <2>	confidence:0.9933774834437086
-,cd,mv -> <1>,<2>	confidence:0.9933774834437086
-,<1>,<2>,mv -> cd	confidence:1.0
-,<2>,mv -> <1>,cd	confidence:1.0
-,<1>,mv -> <2>,cd	confidence:0.9933774834437086
-,mv -> <1>,<2>,cd	confidence:0.9933774834437086
-,<2>,cd,rm -> <1>	confidence:1.0
-,<1>,cd,rm -> <2>	confidence:0.9834254143646409
-,cd,rm -> <1>,<2>	confidence:0.9834254143646409
-,<1>,<2>,rm -> cd	confidence:1.0
-,<2>,rm -> <1>,cd	confidence:1.0
-,<1>,rm -> <2>,cd	confidence:0.9834254143646409
-,rm -> <1>,<2>,cd	confidence:0.9834254143646409
-,<2>,cd,vi -> <1>	confidence:1.0
-,<1>,cd,vi -> <2>	confidence:0.9741935483870968
-,cd,vi -> <1>,<2>	confidence:0.9741935483870968
-,<1>,<2>,vi -> cd	confidence:1.0
-,<2>,vi -> <1>,cd	confidence:1.0
-,<1>,vi -> <2>,cd	confidence:0.967948717948718
-,vi -> <1>,<2>,cd	confidence:0.967948717948718
-,<2>,cd,| -> <1>	confidence:1.0
-,<1>,cd,| -> <2>	confidence:0.9615384615384616
-,cd,| -> <1>,<2>	confidence:0.9615384615384616
-,<1>,<2>,| -> cd	confidence:1.0
-,<2>,| -> <1>,cd	confidence:1.0
-,<1>,| -> <2>,cd	confidence:0.9615384615384616
-,| -> <1>,<2>,cd	confidence:0.9615384615384616
-,<2>,k,ll -> <1>	confidence:1.0
-,<1>,k,ll -> <2>	confidence:0.959349593495935
-,k,ll -> <1>,<2>	confidence:0.959349593495935
-,k -> <1>,<2>,ll	confidence:0.9516129032258065
-,<1>,k -> <2>,ll	confidence:0.9516129032258065
-,<2>,k -> <1>,ll	confidence:1.0
-,<1>,<2>,k -> ll	confidence:1.0
-,<2>,ll,m -> <1>	confidence:1.0
-,<1>,ll,m -> <2>	confidence:0.9577464788732394
-,ll,m -> <1>,<2>	confidence:0.9577464788732394
-,<1>,<2>,m -> ll	confidence:0.951048951048951
-,<2>,m -> <1>,ll	confidence:0.951048951048951
-,<1>,m -> <2>,ll	confidence:0.912751677852349
-,m -> <1>,<2>,ll	confidence:0.912751677852349
-,<2>,ll,rm -> <1>	confidence:1.0
-,<1>,ll,rm -> <2>	confidence:0.9852941176470589
-,ll,rm -> <1>,<2>	confidence:0.9852941176470589
-,<2>,ll,vi -> <1>	confidence:1.0
-,<1>,ll,vi -> <2>	confidence:0.9916666666666667
-,ll,vi -> <1>,<2>	confidence:0.9916666666666667
-,<2>,mv,rm -> <1>	confidence:1.0
-,<1>,mv,rm -> <2>	confidence:0.9912280701754386
-,mv,rm -> <1>,<2>	confidence:0.9912280701754386
-,cd,k,ll -> <1>	confidence:1.0
-,<1>,k,ll -> cd	confidence:1.0
-,k,ll -> <1>,cd	confidence:1.0
-,k -> <1>,cd,ll	confidence:0.9919354838709677
-,<1>,k -> cd,ll	confidence:0.9919354838709677
-,cd,k -> <1>,ll	confidence:0.9919354838709677
-,<1>,cd,k -> ll	confidence:0.9919354838709677
-,cd,ll,m -> <1>	confidence:1.0
-,<1>,ll,m -> cd	confidence:1.0
-,ll,m -> <1>,cd	confidence:1.0
-,<1>,cd,m -> ll	confidence:0.9530201342281879
-,cd,m -> <1>,ll	confidence:0.9530201342281879
-,<1>,m -> cd,ll	confidence:0.9530201342281879
-,m -> <1>,cd,ll	confidence:0.9530201342281879
-,cd,ll,mv -> <1>	confidence:1.0
-,<1>,ll,mv -> cd	confidence:1.0
-,ll,mv -> <1>,cd	confidence:1.0
-,cd,ll,rm -> <1>	confidence:1.0
-,<1>,ll,rm -> cd	confidence:1.0
-,ll,rm -> <1>,cd	confidence:1.0
-,cd,ll,vi -> <1>	confidence:1.0
-,<1>,ll,vi -> cd	confidence:1.0
-,ll,vi -> <1>,cd	confidence:1.0
-,cd,mv,rm -> <1>	confidence:1.0
-,<1>,mv,rm -> cd	confidence:1.0
-,mv,rm -> <1>,cd	confidence:1.0
-,cd,k,ll -> <2>	confidence:0.959349593495935
-,<2>,k,ll -> cd	confidence:1.0
-,k,ll -> <2>,cd	confidence:0.959349593495935
-,k -> <2>,cd,ll	confidence:0.9516129032258065
-,<2>,k -> cd,ll	confidence:1.0
-,cd,k -> <2>,ll	confidence:0.9516129032258065
-,<2>,cd,k -> ll	confidence:1.0
-,cd,ll,m -> <2>	confidence:0.9577464788732394
-,<2>,ll,m -> cd	confidence:1.0
-,ll,m -> <2>,cd	confidence:0.9577464788732394
-,<2>,cd,m -> ll	confidence:0.951048951048951
-,cd,m -> <2>,ll	confidence:0.912751677852349
-,<2>,m -> cd,ll	confidence:0.951048951048951
-,m -> <2>,cd,ll	confidence:0.912751677852349
-,cd,ll,rm -> <2>	confidence:0.9852941176470589
-,<2>,ll,rm -> cd	confidence:1.0
-,ll,rm -> <2>,cd	confidence:0.9852941176470589
-,cd,ll,vi -> <2>	confidence:0.9916666666666667
-,<2>,ll,vi -> cd	confidence:1.0
-,ll,vi -> <2>,cd	confidence:0.9916666666666667
-,cd,mv,rm -> <2>	confidence:0.9912280701754386
-,<2>,mv,rm -> cd	confidence:1.0
-,mv,rm -> <2>,cd	confidence:0.9912280701754386
-f,<2>,cd,rm -> <1>	confidence:1.0
-f,<1>,cd,rm -> <2>	confidence:0.9140625
-f,cd,rm -> <1>,<2>	confidence:0.9140625
-f,<1>,<2>,rm -> cd	confidence:0.975
-f,<2>,rm -> <1>,cd	confidence:0.975
-f,<1>,rm -> <2>,cd	confidence:0.8666666666666667
-f,rm -> <1>,<2>,cd	confidence:0.8666666666666667
-l,<2>,>,cd -> <1>	confidence:1.0
-l,<1>,>,cd -> <2>	confidence:0.9534883720930233
-l,>,cd -> <1>,<2>	confidence:0.9534883720930233
-l,> -> <1>,<2>,cd	confidence:0.9461538461538461
-l,<1>,> -> <2>,cd	confidence:0.9461538461538461
-l,<2>,> -> <1>,cd	confidence:0.9919354838709677
-l,<1>,<2>,> -> cd	confidence:0.9919354838709677
-l,<2>,cd,cp -> <1>	confidence:1.0
-l,<1>,cd,cp -> <2>	confidence:0.9948717948717949
-l,cd,cp -> <1>,<2>	confidence:0.9948717948717949
-l,<1>,<2>,cp -> cd	confidence:0.9897959183673469
-l,<2>,cp -> <1>,cd	confidence:0.9897959183673469
-l,<1>,cp -> <2>,cd	confidence:0.9847715736040609
-l,cp -> <1>,<2>,cd	confidence:0.9847715736040609
-l,<2>,cd,elm -> <1>	confidence:1.0
-l,<1>,<2>,elm -> cd	confidence:0.8895027624309392
-l,<2>,elm -> <1>,cd	confidence:0.8518518518518519
-l,<2>,cd,exit -> <1>	confidence:1.0
-l,<1>,<2>,exit -> cd	confidence:0.916083916083916
-l,<2>,cd,grep -> <1>	confidence:1.0
-l,<1>,cd,grep -> <2>	confidence:0.9329268292682927
-l,cd,grep -> <1>,<2>	confidence:0.9329268292682927
-l,<1>,<2>,grep -> cd	confidence:0.9622641509433962
-l,<2>,grep -> <1>,cd	confidence:0.9622641509433962
-l,<1>,grep -> <2>,cd	confidence:0.8947368421052632
-l,grep -> <1>,<2>,cd	confidence:0.8947368421052632
-l,<2>,cd,k -> <1>	confidence:1.0
-l,<1>,cd,k -> <2>	confidence:0.96
-l,cd,k -> <1>,<2>	confidence:0.96
-l,<1>,<2>,k -> cd	confidence:0.9836065573770492
-l,<2>,k -> <1>,cd	confidence:0.9836065573770492
-l,<1>,k -> <2>,cd	confidence:0.9448818897637795
-l,k -> <1>,<2>,cd	confidence:0.9448818897637795
-l,<2>,cd,ll -> <1>	confidence:1.0
-l,<1>,cd,ll -> <2>	confidence:0.9188034188034188
-l,cd,ll -> <1>,<2>	confidence:0.9188034188034188
-l,<1>,<2>,ll -> cd	confidence:0.9862385321100917
-l,<2>,ll -> <1>,cd	confidence:0.9862385321100917
-l,<1>,ll -> <2>,cd	confidence:0.9033613445378151
-l,ll -> <1>,<2>,cd	confidence:0.9033613445378151
-l,<2>,cd,ls -> <1>	confidence:1.0
-l,<1>,<2>,ls -> cd	confidence:0.9673024523160763
-l,<2>,ls -> <1>,cd	confidence:0.9646739130434783
-l,<2>,cd,man -> <1>	confidence:1.0
-l,<1>,cd,man -> <2>	confidence:0.924812030075188
-l,cd,man -> <1>,<2>	confidence:0.924812030075188
-l,<1>,<2>,man -> cd	confidence:0.9761904761904762
-l,<2>,man -> <1>,cd	confidence:0.9761904761904762
-l,<1>,man -> <2>,cd	confidence:0.8978102189781022
-l,man -> <1>,<2>,cd	confidence:0.8978102189781022
-l,<2>,cd,more -> <1>	confidence:1.0
-l,<1>,<2>,more -> cd	confidence:0.9492753623188406
-l,<2>,more -> <1>,cd	confidence:0.9492753623188406
-l,<2>,cd,mv -> <1>	confidence:1.0
-l,<1>,cd,mv -> <2>	confidence:1.0
-l,cd,mv -> <1>,<2>	confidence:1.0
-l,<1>,<2>,mv -> cd	confidence:0.9865470852017937
-l,<2>,mv -> <1>,cd	confidence:0.9865470852017937
-l,<1>,mv -> <2>,cd	confidence:0.9865470852017937
-l,mv -> <1>,<2>,cd	confidence:0.9865470852017937
-l,<2>,cd,rm -> <1>	confidence:1.0
-l,<1>,cd,rm -> <2>	confidence:0.8428571428571429
-l,cd,rm -> <1>,<2>	confidence:0.8428571428571429
-l,<1>,<2>,rm -> cd	confidence:0.9833333333333333
-l,<2>,rm -> <1>,cd	confidence:0.9833333333333333
-l,<1>,rm -> <2>,cd	confidence:0.8217270194986073
-l,rm -> <1>,<2>,cd	confidence:0.8217270194986073
-l,<2>,cd,vi -> <1>	confidence:1.0
-l,<1>,cd,vi -> <2>	confidence:0.8492063492063492
-l,cd,vi -> <1>,<2>	confidence:0.8492063492063492
-l,<1>,<2>,vi -> cd	confidence:0.9786585365853658
-l,<2>,vi -> <1>,cd	confidence:0.9786585365853658
-l,<1>,vi -> <2>,cd	confidence:0.8316062176165803
-l,vi -> <1>,<2>,cd	confidence:0.8316062176165803
-l,<2>,cd,z -> <1>	confidence:1.0
-l,<1>,cd,z -> <2>	confidence:0.8592592592592593
-l,cd,z -> <1>,<2>	confidence:0.8592592592592593
-l,<1>,<2>,z -> cd	confidence:0.8923076923076924
-l,<2>,cd,| -> <1>	confidence:1.0
-l,<1>,cd,| -> <2>	confidence:0.8666666666666667
-l,cd,| -> <1>,<2>	confidence:0.8666666666666667
-l,<1>,<2>,| -> cd	confidence:0.9454545454545454
-l,<2>,| -> <1>,cd	confidence:0.9454545454545454
-l,<1>,| -> <2>,cd	confidence:0.8082901554404145
-l,| -> <1>,<2>,cd	confidence:0.8082901554404145
-l,<2>,cp,ls -> <1>	confidence:1.0
-l,<1>,cp,ls -> <2>	confidence:1.0
-l,cp,ls -> <1>,<2>	confidence:1.0
-l,<2>,cp,mv -> <1>	confidence:1.0
-l,<1>,cp,mv -> <2>	confidence:1.0
-l,cp,mv -> <1>,<2>	confidence:1.0
-l,<2>,cp,rm -> <1>	confidence:1.0
-l,<1>,cp,rm -> <2>	confidence:1.0
-l,cp,rm -> <1>,<2>	confidence:1.0
-l,<2>,cp,vi -> <1>	confidence:1.0
-l,<1>,cp,vi -> <2>	confidence:1.0
-l,cp,vi -> <1>,<2>	confidence:1.0
-l,<2>,elm,ls -> <1>	confidence:0.9922480620155039
-l,<2>,elm,vi -> <1>	confidence:1.0
-l,<2>,exit,ls -> <1>	confidence:0.9923664122137404
-l,<1>,<2>,exit -> ls	confidence:0.9090909090909091
-l,<2>,grep,vi -> <1>	confidence:1.0
-l,<1>,grep,vi -> <2>	confidence:0.9672131147540983
-l,grep,vi -> <1>,<2>	confidence:0.9672131147540983
-l,<2>,k,ll -> <1>	confidence:1.0
-l,<1>,k,ll -> <2>	confidence:0.967741935483871
-l,k,ll -> <1>,<2>	confidence:0.967741935483871
-l,k -> <1>,<2>,ll	confidence:0.9448818897637795
-l,<1>,k -> <2>,ll	confidence:0.9448818897637795
-l,<2>,k -> <1>,ll	confidence:0.9836065573770492
-l,<1>,<2>,k -> ll	confidence:0.9836065573770492
-l,<2>,ll,rm -> <1>	confidence:1.0
-l,<1>,ll,rm -> <2>	confidence:0.9708029197080292
-l,ll,rm -> <1>,<2>	confidence:0.9708029197080292
-l,<2>,ll,vi -> <1>	confidence:1.0
-l,<1>,ll,vi -> <2>	confidence:0.9716312056737588
-l,ll,vi -> <1>,<2>	confidence:0.9716312056737588
-l,<2>,ls,more -> <1>	confidence:1.0
-l,<1>,<2>,more -> ls	confidence:0.9710144927536232
-l,<2>,more -> <1>,ls	confidence:0.9710144927536232
-l,<2>,ls,mv -> <1>	confidence:1.0
-l,<1>,ls,mv -> <2>	confidence:1.0
-l,ls,mv -> <1>,<2>	confidence:1.0
-l,<2>,ls,rm -> <1>	confidence:1.0
-l,<2>,ls,vi -> <1>	confidence:1.0
-l,<1>,ls,vi -> <2>	confidence:0.8096885813148789
-l,ls,vi -> <1>,<2>	confidence:0.8096885813148789
-l,<2>,mv,rm -> <1>	confidence:1.0
-l,<1>,mv,rm -> <2>	confidence:1.0
-l,mv,rm -> <1>,<2>	confidence:1.0
-l,<2>,mv,vi -> <1>	confidence:1.0
-l,<1>,mv,vi -> <2>	confidence:1.0
-l,mv,vi -> <1>,<2>	confidence:1.0
-l,<2>,rm,vi -> <1>	confidence:1.0
-l,<1>,rm,vi -> <2>	confidence:0.8760330578512396
-l,rm,vi -> <1>,<2>	confidence:0.8760330578512396
-l,<2>,vi,| -> <1>	confidence:1.0
-l,<1>,vi,| -> <2>	confidence:0.9327731092436975
-l,vi,| -> <1>,<2>	confidence:0.9327731092436975
-l,cd,cp,ls -> <1>	confidence:1.0
-l,<1>,cp,ls -> cd	confidence:0.9856115107913669
-l,cp,ls -> <1>,cd	confidence:0.9856115107913669
-l,cd,cp,rm -> <1>	confidence:1.0
-l,<1>,cp,rm -> cd	confidence:0.9861111111111112
-l,cp,rm -> <1>,cd	confidence:0.9861111111111112
-l,cd,cp,vi -> <1>	confidence:1.0
-l,<1>,cp,vi -> cd	confidence:0.9865771812080537
-l,cp,vi -> <1>,cd	confidence:0.9865771812080537
-l,cd,elm,ls -> <1>	confidence:1.0
-l,<1>,elm,ls -> cd	confidence:0.9267015706806283
-l,elm,ls -> <1>,cd	confidence:0.9076923076923077
-l,cd,elm -> <1>,ls	confidence:0.8009049773755657
-l,<1>,cd,elm -> ls	confidence:0.8009049773755657
-l,cd,elm,rm -> <1>	confidence:1.0
-l,<1>,elm,rm -> cd	confidence:0.9640287769784173
-l,elm,rm -> <1>,cd	confidence:0.9640287769784173
-l,cd,elm,vi -> <1>	confidence:1.0
-l,<1>,elm,vi -> cd	confidence:0.959731543624161
-l,elm,vi -> <1>,cd	confidence:0.959731543624161
-l,cd,exit,ls -> <1>	confidence:1.0
-l,<1>,exit,ls -> cd	confidence:0.9583333333333334
-l,exit,ls -> <1>,cd	confidence:0.9484536082474226
-l,exit -> <1>,cd,ls	confidence:0.8070175438596491
-l,<1>,exit -> cd,ls	confidence:0.8932038834951457
-l,cd,exit -> <1>,ls	confidence:0.9787234042553191
-l,<1>,cd,exit -> ls	confidence:0.9787234042553191
-l,cd,exit,rm -> <1>	confidence:1.0
-l,<1>,exit,rm -> cd	confidence:0.9661016949152542
-l,exit,rm -> <1>,cd	confidence:0.9661016949152542
-l,cd,exit,vi -> <1>	confidence:1.0
-l,<1>,exit,vi -> cd	confidence:0.9915966386554622
-l,exit,vi -> <1>,cd	confidence:0.9915966386554622
-l,cd,grep,ls -> <1>	confidence:1.0
-l,<1>,grep,ls -> cd	confidence:0.9663865546218487
-l,grep,ls -> <1>,cd	confidence:0.9663865546218487
-l,cd,grep,vi -> <1>	confidence:1.0
-l,<1>,grep,vi -> cd	confidence:0.9836065573770492
-l,grep,vi -> <1>,cd	confidence:0.9836065573770492
-l,cd,k,ll -> <1>	confidence:1.0
-l,<1>,k,ll -> cd	confidence:1.0
-l,k,ll -> <1>,cd	confidence:1.0
-l,k -> <1>,cd,ll	confidence:0.9763779527559056
-l,<1>,k -> cd,ll	confidence:0.9763779527559056
-l,cd,k -> <1>,ll	confidence:0.992
-l,<1>,cd,k -> ll	confidence:0.992
-l,cd,ll,rm -> <1>	confidence:1.0
-l,<1>,ll,rm -> cd	confidence:0.9927007299270073
-l,ll,rm -> <1>,cd	confidence:0.9927007299270073
-l,cd,ll,vi -> <1>	confidence:1.0
-l,<1>,ll,vi -> cd	confidence:1.0
-l,ll,vi -> <1>,cd	confidence:1.0
-l,cd,ls,more -> <1>	confidence:1.0
-l,<1>,ls,more -> cd	confidence:0.9705882352941176
-l,ls,more -> <1>,cd	confidence:0.9705882352941176
-l,<1>,cd,more -> ls	confidence:0.9880239520958084
-l,cd,more -> <1>,ls	confidence:0.9880239520958084
-l,<1>,more -> cd,ls	confidence:0.9375
-l,more -> <1>,cd,ls	confidence:0.9375
-l,cd,ls,mv -> <1>	confidence:1.0
-l,<1>,ls,mv -> cd	confidence:0.9826589595375722
-l,ls,mv -> <1>,cd	confidence:0.9826589595375722
-l,cd,ls,rm -> <1>	confidence:1.0
-l,<1>,ls,rm -> cd	confidence:0.9701492537313433
-l,ls,rm -> <1>,cd	confidence:0.9701492537313433
-l,cd,ls,vi -> <1>	confidence:1.0
-l,<1>,ls,vi -> cd	confidence:0.9826989619377162
-l,ls,vi -> <1>,cd	confidence:0.9826989619377162
-l,cd,ls,| -> <1>	confidence:1.0
-l,<1>,ls,| -> cd	confidence:0.9699248120300752
-l,ls,| -> <1>,cd	confidence:0.9699248120300752
-l,cd,more,vi -> <1>	confidence:1.0
-l,<1>,more,vi -> cd	confidence:0.9910714285714286
-l,more,vi -> <1>,cd	confidence:0.9910714285714286
-l,cd,mv,rm -> <1>	confidence:1.0
-l,<1>,mv,rm -> cd	confidence:0.9817073170731707
-l,mv,rm -> <1>,cd	confidence:0.9817073170731707
-l,cd,mv,vi -> <1>	confidence:1.0
-l,<1>,mv,vi -> cd	confidence:0.9807692307692307
-l,mv,vi -> <1>,cd	confidence:0.9807692307692307
-l,cd,rm,vi -> <1>	confidence:1.0
-l,<1>,rm,vi -> cd	confidence:0.9834710743801653
-l,rm,vi -> <1>,cd	confidence:0.9834710743801653
-l,cd,rm,| -> <1>	confidence:1.0
-l,<1>,rm,| -> cd	confidence:0.9831932773109243
-l,rm,| -> <1>,cd	confidence:0.9831932773109243
-l,cd,vi,| -> <1>	confidence:1.0
-l,<1>,vi,| -> cd	confidence:0.9915966386554622
-l,vi,| -> <1>,cd	confidence:0.9915966386554622
-l,cp,rm,vi -> <1>	confidence:1.0
-l,cp,rm -> <1>,vi	confidence:0.8055555555555556
-l,<1>,cp,rm -> vi	confidence:0.8055555555555556
-l,elm,ls,rm -> <1>	confidence:1.0
-l,<1>,elm,rm -> ls	confidence:0.8273381294964028
-l,elm,rm -> <1>,ls	confidence:0.8273381294964028
-l,elm,ls,vi -> <1>	confidence:1.0
-l,exit,ls,rm -> <1>	confidence:1.0
-l,<1>,exit,rm -> ls	confidence:0.9830508474576272
-l,exit,rm -> <1>,ls	confidence:0.9830508474576272
-l,exit,ls,vi -> <1>	confidence:1.0
-l,<1>,exit,vi -> ls	confidence:0.9915966386554622
-l,exit,vi -> <1>,ls	confidence:0.9915966386554622
-l,ls,more,vi -> <1>	confidence:1.0
