& -> <1>	confidence:0.8453738910012675
dvips -> cd	confidence:0.976
echo -> cd	confidence:0.8068965517241379
grep -> cd	confidence:0.8226600985221675
head -> cd	confidence:0.9375
k -> cd	confidence:0.8907766990291263
latex -> cd	confidence:0.9647058823529412
less -> cd	confidence:0.9238095238095239
ll -> cd	confidence:0.9426008968609866
ln -> cd	confidence:0.9782608695652174
lp -> cd	confidence:0.9523809523809523
ls -> cd	confidence:0.8308563340410474
make -> cd	confidence:0.9873417721518988
man -> cd	confidence:0.8193018480492813
matlab -> cd	confidence:0.8418604651162791
md -> cd	confidence:0.9814814814814815
mkdir -> cd	confidence:0.9652173913043478
more -> cd	confidence:0.8291139240506329
mv -> cd	confidence:0.9513797634691196
pwd -> cd	confidence:0.9033232628398792
rm -> cd	confidence:0.875
tail -> cd	confidence:0.9342723004694836
tar -> cd	confidence:0.9947089947089947
vi -> cd	confidence:0.8787255909558068
wc -> cd	confidence:0.9786096256684492
which -> cd	confidence:0.8578947368421053
cdn -> ls	confidence:0.9784172661870504
ct -> ll	confidence:0.9518072289156626
lo -> elm	confidence:0.8208955223880597
ftp -> ls	confidence:0.8279569892473119
k -> ll	confidence:0.8519417475728155
less -> ls	confidence:0.8285714285714286
md -> ll	confidence:0.9753086419753086
mkdir -> ls	confidence:0.9173913043478261
more -> ls	confidence:0.8417721518987342
