&,-l -> <1>,<2>	confidence:0.84472049689441
-,<1>,| -> <2>	confidence:0.9615384615384616
-,| -> <1>,<2>	confidence:0.9615384615384616
-,cd,cp -> <1>	confidence:1.0
-,<1>,cp -> cd	confidence:1.0
-,cp -> <1>,cd	confidence:1.0
-,cd,grep -> <1>	confidence:1.0
-,<1>,grep -> cd	confidence:1.0
-,grep -> <1>,cd	confidence:1.0
-,cd,k -> <1>	confidence:1.0
-,<1>,k -> cd	confidence:1.0
-,k -> <1>,cd	confidence:1.0
-,cd,ll -> <1>	confidence:1.0
-,<1>,ll -> cd	confidence:1.0
-,ll -> <1>,cd	confidence:1.0
-,cd,ls -> <1>	confidence:1.0
-,<1>,ls -> cd	confidence:0.9921259842519685
-,ls -> <1>,cd	confidence:0.9921259842519685
-,cd,m -> <1>	confidence:1.0
-,<1>,m -> cd	confidence:1.0
-,m -> <1>,cd	confidence:1.0
-,cd,mv -> <1>	confidence:1.0
-,<1>,mv -> cd	confidence:1.0
-,mv -> <1>,cd	confidence:1.0
-,cd,rm -> <1>	confidence:1.0
-,<1>,rm -> cd	confidence:1.0
-,rm -> <1>,cd	confidence:1.0
-,cd,vi -> <1>	confidence:1.0
-,<1>,vi -> cd	confidence:0.9935897435897436
-,vi -> <1>,cd	confidence:0.9935897435897436
-,cd,| -> <1>	confidence:1.0
-,<1>,| -> cd	confidence:1.0
-,| -> <1>,cd	confidence:1.0
-,k,ll -> <1>	confidence:1.0
-,k -> <1>,ll	confidence:0.9919354838709677
-,<1>,k -> ll	confidence:0.9919354838709677
-,ll,m -> <1>	confidence:1.0
-,<1>,m -> ll	confidence:0.9530201342281879
-,m -> <1>,ll	confidence:0.9530201342281879
-,ll,mv -> <1>	confidence:1.0
-,ll,rm -> <1>	confidence:1.0
-,ll,vi -> <1>	confidence:1.0
-,mv,rm -> <1>	confidence:1.0
-,cd,cp -> <2>	confidence:0.9915254237288136
-,<2>,cp -> cd	confidence:1.0
-,cp -> <2>,cd	confidence:0.9915254237288136
-,cd,grep -> <2>	confidence:1.0
-,<2>,grep -> cd	confidence:1.0
-,grep -> <2>,cd	confidence:1.0
-,cd,k -> <2>	confidence:0.9516129032258065
-,<2>,k -> cd	confidence:1.0
-,k -> <2>,cd	confidence:0.9516129032258065
-,cd,ll -> <2>	confidence:0.9497716894977168
-,<2>,ll -> cd	confidence:1.0
-,ll -> <2>,cd	confidence:0.9497716894977168
-,cd,ls -> <2>	confidence:0.9603174603174603
-,<2>,ls -> cd	confidence:1.0
-,ls -> <2>,cd	confidence:0.952755905511811
-,cd,m -> <2>	confidence:0.959731543624161
-,<2>,m -> cd	confidence:1.0
-,m -> <2>,cd	confidence:0.959731543624161
-,cd,mv -> <2>	confidence:0.9933774834437086
-,<2>,mv -> cd	confidence:1.0
-,mv -> <2>,cd	confidence:0.9933774834437086
-,cd,rm -> <2>	confidence:0.9834254143646409
-,<2>,rm -> cd	confidence:1.0
-,rm -> <2>,cd	confidence:0.9834254143646409
-,cd,vi -> <2>	confidence:0.9741935483870968
-,<2>,vi -> cd	confidence:1.0
-,vi -> <2>,cd	confidence:0.967948717948718
-,cd,| -> <2>	confidence:0.9615384615384616
-,<2>,| -> cd	confidence:1.0
-,| -> <2>,cd	confidence:0.9615384615384616
-,k,ll -> <2>	confidence:0.959349593495935
-,k -> <2>,ll	confidence:0.9516129032258065
-,<2>,k -> ll	confidence:1.0
-,ll,m -> <2>	confidence:0.9577464788732394
-,<2>,m -> ll	confidence:0.951048951048951
-,m -> <2>,ll	confidence:0.912751677852349
-,ll,rm -> <2>	confidence:0.9852941176470589
-,ll,vi -> <2>	confidence:0.9916666666666667
-,mv,rm -> <2>	confidence:0.9912280701754386
-,k,ll -> cd	confidence:1.0
-,k -> cd,ll	confidence:0.9919354838709677
-,cd,k -> ll	confidence:0.9919354838709677
-,ll,m -> cd	confidence:1.0
-,cd,m -> ll	confidence:0.9530201342281879
-,m -> cd,ll	confidence:0.9530201342281879
-,ll,mv -> cd	confidence:1.0
-,ll,rm -> cd	confidence:1.0
-,ll,vi -> cd	confidence:1.0
-,mv,rm -> cd	confidence:1.0
-d -> <1>,<2>,cd	confidence:0.8248175182481752
-d,<2>,cd -> <1>	confidence:1.0
-d,<1> -> <2>,cd	confidence:0.8968253968253969
-d,<1>,cd -> <2>	confidence:0.9416666666666667
-d,<2> -> <1>,cd	confidence:0.889763779527559
-d,cd -> <1>,<2>	confidence:0.9416666666666667
-d,<1>,<2> -> cd	confidence:0.9576271186440678
-f,<2>,cd -> <1>	confidence:1.0
-f,<1>,cd -> <2>	confidence:0.8054054054054054
-f,<2> -> <1>,cd	confidence:0.8563218390804598
-f,cd -> <1>,<2>	confidence:0.8054054054054054
-f,<1>,<2> -> cd	confidence:0.9551282051282052
-f,<2>,rm -> <1>	confidence:1.0
-f,<1>,rm -> <2>	confidence:0.8888888888888888
-f,rm -> <1>,<2>	confidence:0.8888888888888888
-f,cd,rm -> <1>	confidence:1.0
-f,<1>,rm -> cd	confidence:0.9481481481481482
-f,rm -> <1>,cd	confidence:0.9481481481481482
-f,cd,vi -> <1>	confidence:1.0
-f,<1>,vi -> cd	confidence:0.9285714285714286
-f,vi -> <1>,cd	confidence:0.9285714285714286
-f,cd,rm -> <2>	confidence:0.9140625
-f,<2>,rm -> cd	confidence:0.975
-f,rm -> <2>,cd	confidence:0.8666666666666667
-l,<2>,> -> <1>	confidence:1.0
-l,<1>,> -> <2>	confidence:0.9538461538461539
-l,> -> <1>,<2>	confidence:0.9538461538461539
-l,<2>,cd -> <1>	confidence:1.0
-l,<1>,<2> -> cd	confidence:0.904424778761062
-l,<2>,cp -> <1>	confidence:1.0
-l,<1>,cp -> <2>	confidence:0.9949238578680203
-l,cp -> <1>,<2>	confidence:0.9949238578680203
-l,<2>,elm -> <1>	confidence:0.9576719576719577
-l,<2>,exit -> <1>	confidence:0.8719512195121951
-l,<2>,fg -> <1>	confidence:0.991304347826087
-l,<1>,fg -> <2>	confidence:0.8382352941176471
-l,fg -> <1>,<2>	confidence:0.8321167883211679
-l,<2>,grep -> <1>	confidence:1.0
-l,<1>,grep -> <2>	confidence:0.9298245614035088
-l,grep -> <1>,<2>	confidence:0.9298245614035088
-l,<2>,k -> <1>	confidence:1.0
-l,<1>,k -> <2>	confidence:0.9606299212598425
-l,k -> <1>,<2>	confidence:0.9606299212598425
-l,<2>,ll -> <1>	confidence:1.0
-l,<1>,ll -> <2>	confidence:0.9159663865546218
-l,ll -> <1>,<2>	confidence:0.9159663865546218
-l,<2>,ls -> <1>	confidence:0.9972826086956522
-l,<2>,man -> <1>	confidence:1.0
-l,<1>,man -> <2>	confidence:0.9197080291970803
-l,man -> <1>,<2>	confidence:0.9197080291970803
-l,<2>,more -> <1>	confidence:1.0
-l,<2>,mv -> <1>	confidence:1.0
-l,<1>,mv -> <2>	confidence:1.0
-l,mv -> <1>,<2>	confidence:1.0
-l,<1>,rlogin -> <2>	confidence:0.903448275862069
-l,<2>,rm -> <1>	confidence:1.0
-l,<1>,rm -> <2>	confidence:0.8356545961002786
-l,rm -> <1>,<2>	confidence:0.8356545961002786
-l,<2>,vi -> <1>	confidence:1.0
-l,<1>,vi -> <2>	confidence:0.8497409326424871
-l,vi -> <1>,<2>	confidence:0.8497409326424871
-l,<2>,z -> <1>	confidence:0.8125
-l,<1>,z -> <2>	confidence:0.8552631578947368
-l,<2>,| -> <1>	confidence:1.0
-l,<1>,| -> <2>	confidence:0.8549222797927462
-l,| -> <1>,<2>	confidence:0.8549222797927462
-l,>,cd -> <1>	confidence:1.0
-l,> -> <1>,cd	confidence:0.9923076923076923
-l,<1>,> -> cd	confidence:0.9923076923076923
-l,cd,cp -> <1>	confidence:1.0
-l,<1>,cp -> cd	confidence:0.9898477157360406
-l,cp -> <1>,cd	confidence:0.9898477157360406
-l,cd,elm -> <1>	confidence:1.0
-l,<1>,elm -> cd	confidence:0.8875502008032129
-l,elm -> <1>,cd	confidence:0.85
-l,cd,exit -> <1>	confidence:1.0
-l,<1>,exit -> cd	confidence:0.912621359223301
-l,exit -> <1>,cd	confidence:0.8245614035087719
-l,cd,fg -> <1>	confidence:1.0
-l,<1>,fg -> cd	confidence:0.8970588235294118
-l,fg -> <1>,cd	confidence:0.8905109489051095
-l,cd,grep -> <1>	confidence:1.0
-l,<1>,grep -> cd	confidence:0.9590643274853801
-l,grep -> <1>,cd	confidence:0.9590643274853801
-l,cd,k -> <1>	confidence:1.0
-l,<1>,k -> cd	confidence:0.984251968503937
-l,k -> <1>,cd	confidence:0.984251968503937
-l,cd,ll -> <1>	confidence:1.0
-l,<1>,ll -> cd	confidence:0.9831932773109243
-l,ll -> <1>,cd	confidence:0.9831932773109243
-l,cd,ls -> <1>	confidence:1.0
-l,<1>,ls -> cd	confidence:0.9591439688715954
-l,ls -> <1>,cd	confidence:0.9499036608863198
-l,cd,man -> <1>	confidence:1.0
-l,<1>,man -> cd	confidence:0.9708029197080292
-l,man -> <1>,cd	confidence:0.9708029197080292
-l,cd,more -> <1>	confidence:1.0
-l,<1>,more -> cd	confidence:0.9488636363636364
-l,more -> <1>,cd	confidence:0.9488636363636364
-l,cd,mv -> <1>	confidence:1.0
-l,<1>,mv -> cd	confidence:0.9865470852017937
-l,mv -> <1>,cd	confidence:0.9865470852017937
-l,cd,rlogin -> <1>	confidence:1.0
-l,<1>,rlogin -> cd	confidence:0.8
-l,cd,rm -> <1>	confidence:1.0
-l,<1>,rm -> cd	confidence:0.9749303621169917
-l,rm -> <1>,cd	confidence:0.9749303621169917
-l,cd,vi -> <1>	confidence:1.0
-l,<1>,vi -> cd	confidence:0.9792746113989638
-l,vi -> <1>,cd	confidence:0.9792746113989638
-l,cd,wc -> <1>	confidence:1.0
-l,<1>,wc -> cd	confidence:0.9741379310344828
-l,wc -> <1>,cd	confidence:0.9741379310344828
-l,cd,z -> <1>	confidence:1.0
-l,<1>,z -> cd	confidence:0.8881578947368421
-l,cd,| -> <1>	confidence:1.0
-l,<1>,| -> cd	confidence:0.9326424870466321
-l,| -> <1>,cd	confidence:0.9326424870466321
-l,cp,ls -> <1>	confidence:1.0
-l,cp,mv -> <1>	confidence:1.0
-l,cp,rm -> <1>	confidence:1.0
-l,cp,vi -> <1>	confidence:1.0
-l,elm,exit -> <1>	confidence:0.9658119658119658
-l,elm,ls -> <1>	confidence:0.9794871794871794
-l,elm,rm -> <1>	confidence:1.0
-l,elm,vi -> <1>	confidence:1.0
-l,exit,ls -> <1>	confidence:0.9896907216494846
-l,exit -> <1>,ls	confidence:0.8421052631578947
-l,<1>,exit -> ls	confidence:0.9320388349514563
-l,exit,rm -> <1>	confidence:1.0
-l,exit,vi -> <1>	confidence:1.0
-l,grep,ls -> <1>	confidence:1.0
-l,grep,vi -> <1>	confidence:1.0
-l,k,ll -> <1>	confidence:1.0
-l,k -> <1>,ll	confidence:0.9763779527559056
-l,<1>,k -> ll	confidence:0.9763779527559056
-l,ll,rm -> <1>	confidence:1.0
-l,ll,vi -> <1>	confidence:1.0
-l,ls,more -> <1>	confidence:1.0
-l,<1>,more -> ls	confidence:0.9659090909090909
-l,more -> <1>,ls	confidence:0.9659090909090909
-l,ls,mv -> <1>	confidence:1.0
-l,ls,rm -> <1>	confidence:1.0
-l,ls,vi -> <1>	confidence:1.0
-l,ls,| -> <1>	confidence:1.0
-l,more,vi -> <1>	confidence:1.0
-l,mv,rm -> <1>	confidence:1.0
-l,mv,vi -> <1>	confidence:1.0
-l,rm,vi -> <1>	confidence:1.0
-l,rm,| -> <1>	confidence:1.0
-l,vi,| -> <1>	confidence:1.0
-l,>,cd -> <2>	confidence:0.9534883720930233
-l,> -> <2>,cd	confidence:0.9461538461538461
-l,<2>,> -> cd	confidence:0.9919354838709677
-l,cd,cp -> <2>	confidence:0.9948717948717949
-l,<2>,cp -> cd	confidence:0.9897959183673469
-l,cp -> <2>,cd	confidence:0.9847715736040609
-l,<2>,elm -> cd	confidence:0.8518518518518519
-l,cd,grep -> <2>	confidence:0.9329268292682927
-l,<2>,grep -> cd	confidence:0.9622641509433962
-l,grep -> <2>,cd	confidence:0.8947368421052632
-l,cd,k -> <2>	confidence:0.96
-l,<2>,k -> cd	confidence:0.9836065573770492
-l,k -> <2>,cd	confidence:0.9448818897637795
-l,cd,ll -> <2>	confidence:0.9188034188034188
-l,<2>,ll -> cd	confidence:0.9862385321100917
-l,ll -> <2>,cd	confidence:0.9033613445378151
-l,<2>,ls -> cd	confidence:0.9646739130434783
-l,cd,man -> <2>	confidence:0.924812030075188
-l,<2>,man -> cd	confidence:0.9761904761904762
-l,man -> <2>,cd	confidence:0.8978102189781022
-l,<2>,more -> cd	confidence:0.9492753623188406
-l,cd,mv -> <2>	confidence:1.0
-l,<2>,mv -> cd	confidence:0.9865470852017937
-l,mv -> <2>,cd	confidence:0.9865470852017937
-l,cd,rm -> <2>	confidence:0.8428571428571429
-l,<2>,rm -> cd	confidence:0.9833333333333333
-l,rm -> <2>,cd	confidence:0.8217270194986073
-l,cd,vi -> <2>	confidence:0.8492063492063492
-l,<2>,vi -> cd	confidence:0.9786585365853658
-l,vi -> <2>,cd	confidence:0.8316062176165803
-l,cd,z -> <2>	confidence:0.8592592592592593
-l,cd,| -> <2>	confidence:0.8666666666666667
-l,<2>,| -> cd	confidence:0.9454545454545454
-l,| -> <2>,cd	confidence:0.8082901554404145
-l,cp,ls -> <2>	confidence:1.0
-l,cp,mv -> <2>	confidence:1.0
-l,cp,rm -> <2>	confidence:1.0
-l,cp,vi -> <2>	confidence:1.0
-l,grep,vi -> <2>	confidence:0.9672131147540983
-l,k,ll -> <2>	confidence:0.967741935483871
-l,k -> <2>,ll	confidence:0.9448818897637795
-l,<2>,k -> ll	confidence:0.9836065573770492
-l,ll,rm -> <2>	confidence:0.9708029197080292
-l,ll,vi -> <2>	confidence:0.9716312056737588
-l,<2>,more -> ls	confidence:0.9710144927536232
-l,ls,mv -> <2>	confidence:1.0
-l,ls,vi -> <2>	confidence:0.8096885813148789
-l,mv,rm -> <2>	confidence:1.0
-l,mv,vi -> <2>	confidence:1.0
-l,rm,vi -> <2>	confidence:0.8760330578512396
-l,vi,| -> <2>	confidence:0.9327731092436975
-l,cp,ls -> cd	confidence:0.9856115107913669
-l,cp,rm -> cd	confidence:0.9861111111111112
-l,cp,vi -> cd	confidence:0.9865771812080537
-l,elm,ls -> cd	confidence:0.9076923076923077
-l,cd,elm -> ls	confidence:0.8009049773755657
-l,elm,rm -> cd	confidence:0.9640287769784173
-l,elm,vi -> cd	confidence:0.959731543624161
-l,exit,ls -> cd	confidence:0.9484536082474226
-l,exit -> cd,ls	confidence:0.8070175438596491
-l,cd,exit -> ls	confidence:0.9787234042553191
-l,exit,rm -> cd	confidence:0.9661016949152542
-l,exit,vi -> cd	confidence:0.9915966386554622
-l,grep,ls -> cd	confidence:0.9663865546218487
-l,grep,vi -> cd	confidence:0.9836065573770492
-l,k,ll -> cd	confidence:1.0
-l,k -> cd,ll	confidence:0.9763779527559056
-l,cd,k -> ll	confidence:0.992
-l,ll,rm -> cd	confidence:0.9927007299270073
-l,ll,vi -> cd	confidence:1.0
-l,ls,more -> cd	confidence:0.9705882352941176
-l,cd,more -> ls	confidence:0.9880239520958084
-l,more -> cd,ls	confidence:0.9375
-l,ls,mv -> cd	confidence:0.9826589595375722
-l,ls,rm -> cd	confidence:0.9701492537313433
-l,ls,vi -> cd	confidence:0.9826989619377162
-l,ls,| -> cd	confidence:0.9699248120300752
-l,more,vi -> cd	confidence:0.9910714285714286
-l,mv,rm -> cd	confidence:0.9817073170731707
-l,mv,vi -> cd	confidence:0.9807692307692307
-l,rm,vi -> cd	confidence:0.9834710743801653
-l,rm,| -> cd	confidence:0.9831932773109243
-l,vi,| -> cd	confidence:0.9915966386554622
-l,cp,rm -> vi	confidence:0.8055555555555556
-l,elm,rm -> ls	confidence:0.8273381294964028
-l,exit,rm -> ls	confidence:0.9830508474576272
-l,exit,vi -> ls	confidence:0.9915966386554622
-l,more,vi -> ls	confidence:0.9910714285714286
-nw,cd,emacs -> <1>	confidence:0.9916666666666667
-nw,cd -> <1>,emacs	confidence:0.9916666666666667
-nw,<1>,cd -> emacs	confidence:1.0
-rf -> <1>,cd,rm	confidence:0.9921259842519685
-rf,cd,rm -> <1>	confidence:1.0
-rf,<1> -> cd,rm	confidence:0.9921259842519685
-rf,<1>,rm -> cd	confidence:0.9921259842519685
-rf,cd -> <1>,rm	confidence:1.0
-rf,rm -> <1>,cd	confidence:0.9921259842519685
-rf,<1>,cd -> rm	confidence:1.0
-s -> <1>,<2>,cd	confidence:0.8798449612403101
-s,<2>,cd -> <1>	confidence:1.0
-s,<1> -> <2>,cd	confidence:0.9007936507936508
-s,<1>,cd -> <2>	confidence:0.9578059071729957
-s,<2> -> <1>,cd	confidence:0.9227642276422764
-s,cd -> <1>,<2>	confidence:0.9578059071729957
-s,<1>,<2> -> cd	confidence:0.9458333333333333
-s,<2>,ll -> <1>	confidence:1.0
-s,<1>,ll -> <2>	confidence:0.9700598802395209
-s,ll -> <1>,<2>	confidence:0.9700598802395209
<1>,<2>,ln -> -s	confidence:0.9230769230769231
-s,<2>,ln -> <1>	confidence:0.9836065573770492
<2>,ln -> -s,<1>	confidence:0.9090909090909091
-s,<1>,ln -> <2>	confidence:0.9523809523809523
<1>,ln -> -s,<2>	confidence:0.8823529411764706
-s,ln -> <1>,<2>	confidence:0.9375
ln -> -s,<1>,<2>	confidence:0.8695652173913043
-s,<2>,ls -> <1>	confidence:1.0
-s,<1>,ls -> <2>	confidence:0.9465648854961832
-s,ls -> <1>,<2>	confidence:0.9465648854961832
-s,<2>,rm -> <1>	confidence:1.0
-s,<1>,rm -> <2>	confidence:0.9698795180722891
-s,rm -> <1>,<2>	confidence:0.9698795180722891
-s,<2>,vi -> <1>	confidence:1.0
-s,<1>,vi -> <2>	confidence:0.9735099337748344
-s,vi -> <1>,<2>	confidence:0.9735099337748344
-s,cd,ll -> <1>	confidence:1.0
-s,<1>,ll -> cd	confidence:0.9880239520958084
-s,ll -> <1>,cd	confidence:0.9880239520958084
<1>,cd,ln -> -s	confidence:0.9259259259259259
-s,cd,ln -> <1>	confidence:1.0
cd,ln -> -s,<1>	confidence:0.9259259259259259
-s,<1>,ln -> cd	confidence:0.9920634920634921
<1>,ln -> -s,cd	confidence:0.9191176470588235
-s,ln -> <1>,cd	confidence:0.9765625
ln -> -s,<1>,cd	confidence:0.9057971014492754
-s,cd,ls -> <1>	confidence:1.0
-s,<1>,ls -> cd	confidence:0.9847328244274809
-s,ls -> <1>,cd	confidence:0.9847328244274809
-s,cd,rm -> <1>	confidence:1.0
-s,<1>,rm -> cd	confidence:0.9939759036144579
-s,rm -> <1>,cd	confidence:0.9939759036144579
-s,cd,vi -> <1>	confidence:1.0
-s,<1>,vi -> cd	confidence:0.9735099337748344
-s,vi -> <1>,cd	confidence:0.9735099337748344
-s,ll,rm -> <1>	confidence:1.0
-s,rm,vi -> <1>	confidence:1.0
-s,cd,ll -> <2>	confidence:0.9757575757575757
-s,<2>,ll -> cd	confidence:0.9938271604938271
-s,ll -> <2>,cd	confidence:0.9640718562874252
<2>,cd,ln -> -s	confidence:0.9224806201550387
-s,cd,ln -> <2>	confidence:0.952
cd,ln -> -s,<2>	confidence:0.8814814814814815
-s,<2>,ln -> cd	confidence:0.9754098360655737
<2>,ln -> -s,cd	confidence:0.9015151515151515
-s,ln -> <2>,cd	confidence:0.9296875
ln -> -s,<2>,cd	confidence:0.8623188405797102
-s,cd,ls -> <2>	confidence:0.9457364341085271
-s,<2>,ls -> cd	confidence:0.9838709677419355
-s,ls -> <2>,cd	confidence:0.9312977099236641
-s,cd,rm -> <2>	confidence:0.9696969696969697
-s,<2>,rm -> cd	confidence:0.9937888198757764
-s,rm -> <2>,cd	confidence:0.963855421686747
-s,cd,vi -> <2>	confidence:0.9727891156462585
-s,<2>,vi -> cd	confidence:0.9727891156462585
-s,vi -> <2>,cd	confidence:0.9470198675496688
-s,ll,rm -> <2>	confidence:0.9912280701754386
-s,rm,vi -> <2>	confidence:0.9743589743589743
-s,ll,rm -> cd	confidence:1.0
-s,rm,vi -> cd	confidence:0.9914529914529915
-v,cd,ls -> <1>	confidence:1.0
-v,<1>,ls -> cd	confidence:0.9041095890410958
-v,cd -> <1>,ls	confidence:0.8407643312101911
-v,ls -> <1>,cd	confidence:0.8979591836734694
-v,<1>,cd -> ls	confidence:0.8407643312101911
<,<2>,cd -> <1>	confidence:1.0
<,<1>,cd -> <2>	confidence:0.8113207547169812
<,<2> -> <1>,cd	confidence:0.9502762430939227
<,cd -> <1>,<2>	confidence:0.8113207547169812
<,<1>,<2> -> cd	confidence:0.9502762430939227
<,<2>,ll -> <1>	confidence:1.0
