&,-l,<1>,<2>,cd : 131
<1>,>,ls,rm,vi : 113
<1>,cat,cd,ll,rm : 158
<1>,cat,cd,ll,vi : 161
<1>,cat,cd,rm,vi : 139
<1>,cat,ll,rm,vi : 119
<1>,cd,cp,elm,ls : 120
<1>,cd,cp,elm,vi : 121
<1>,cd,cp,exit,ls : 148
<1>,cd,cp,exit,vi : 115
<1>,cd,cp,grep,ll : 111
<1>,cd,cp,grep,rm : 119
<1>,cd,cp,grep,vi : 140
<1>,cd,cp,ll,ls : 129
<1>,cd,cp,ll,mv : 145
<1>,cd,cp,ll,rm : 195
<1>,cd,cp,ll,vi : 201
<1>,cd,cp,ls,more : 148
<1>,cd,cp,ls,mv : 232
<1>,cd,cp,ls,rm : 293
<1>,cd,cp,ls,vi : 332
<1>,cd,cp,ls,| : 112
<1>,cd,cp,make,rm : 114
<1>,cd,cp,more,vi : 113
<1>,cd,cp,mv,rm : 229
<1>,cd,cp,mv,vi : 226
<1>,cd,cp,rm,vi : 294
<1>,cd,cp,rm,| : 121
<1>,cd,cp,vi,| : 130
<1>,cd,date,ls,vi : 144
<1>,cd,dir,ll,vi : 125
<1>,cd,elm,exit,ls : 324
<1>,cd,elm,exit,mail : 120
<1>,cd,elm,exit,rm : 167
<1>,cd,elm,exit,vi : 224
<1>,cd,elm,fg,ls : 243
<1>,cd,elm,fg,rm : 132
<1>,cd,elm,fg,vi : 234
<1>,cd,elm,finger,ls : 127
<1>,cd,elm,lo,ls : 114
<1>,cd,elm,ls,mail : 191
<1>,cd,elm,ls,more : 226
<1>,cd,elm,ls,mv : 159
<1>,cd,elm,ls,rm : 318
<1>,cd,elm,ls,vi : 471
<1>,cd,elm,mail,vi : 159
<1>,cd,elm,more,rm : 130
<1>,cd,elm,more,vi : 171
<1>,cd,elm,mv,rm : 129
<1>,cd,elm,mv,vi : 141
<1>,cd,elm,rm,vi : 261
<1>,cd,exit,fg,ls : 120
<1>,cd,exit,finger,ls : 120
<1>,cd,exit,ll,ls : 112
<1>,cd,exit,ls,mail : 148
<1>,cd,exit,ls,more : 206
<1>,cd,exit,ls,mv : 163
<1>,cd,exit,ls,rm : 302
<1>,cd,exit,ls,vi : 491
<1>,cd,exit,ls,| : 126
<1>,cd,exit,mail,vi : 111
<1>,cd,exit,more,vi : 156
<1>,cd,exit,mv,rm : 117
<1>,cd,exit,mv,vi : 113
<1>,cd,exit,rm,vi : 200
<1>,cd,fg,ls,more : 128
<1>,cd,fg,ls,rm : 154
<1>,cd,fg,ls,vi : 258
<1>,cd,fg,rm,vi : 162
<1>,cd,findall,k,ll : 122
<1>,cd,finger,ls,rm : 121
<1>,cd,finger,ls,vi : 176
<1>,cd,finger,rm,vi : 113
<1>,cd,grep,ll,rm : 138
<1>,cd,grep,ll,vi : 160
<1>,cd,grep,ls,rm : 174
<1>,cd,grep,ls,vi : 215
<1>,cd,grep,ls,| : 160
<1>,cd,grep,mv,rm : 112
<1>,cd,grep,mv,vi : 132
<1>,cd,grep,rm,vi : 192
<1>,cd,grep,rm,| : 124
<1>,cd,grep,vi,| : 156
<1>,cd,k,ll,m : 206
<1>,cd,k,ll,man : 119
<1>,cd,k,ll,rm : 158
<1>,cd,k,ll,vi : 154
<1>,cd,k,ll,z : 228
<1>,cd,k,m,rm : 114
<1>,cd,k,m,vi : 115
<1>,cd,k,m,z : 137
<1>,cd,ll,ls,mv : 129
<1>,cd,ll,ls,rm : 182
<1>,cd,ll,ls,vi : 179
<1>,cd,ll,m,man : 124
<1>,cd,ll,m,mv : 130
<1>,cd,ll,m,rm : 178
<1>,cd,ll,m,vi : 176
<1>,cd,ll,m,z : 196
<1>,cd,ll,man,rm : 144
<1>,cd,ll,man,vi : 159
<1>,cd,ll,man,z : 113
<1>,cd,ll,mv,rm : 201
<1>,cd,ll,mv,vi : 198
<1>,cd,ll,rm,vi : 281
<1>,cd,ll,rm,z : 127
<1>,cd,ll,rm,| : 120
<1>,cd,ll,vi,z : 151
<1>,cd,ll,vi,| : 136
<1>,cd,ls,mail,rm : 142
<1>,cd,ls,mail,vi : 202
<1>,cd,ls,make,rm : 149
<1>,cd,ls,make,vi : 142
<1>,cd,ls,man,rm : 121
<1>,cd,ls,man,vi : 128
<1>,cd,ls,mkdir,mv : 146
<1>,cd,ls,mkdir,rm : 122
<1>,cd,ls,mkdir,vi : 123
<1>,cd,ls,more,mv : 168
<1>,cd,ls,more,rm : 300
<1>,cd,ls,more,vi : 362
<1>,cd,ls,more,| : 191
<1>,cd,ls,mv,rm : 367
<1>,cd,ls,mv,vi : 335
<1>,cd,ls,mv,| : 137
<1>,cd,ls,pwd,rm : 123
<1>,cd,ls,pwd,vi : 142
<1>,cd,ls,quota,rm : 116
<1>,cd,ls,rm,vi : 515
<1>,cd,ls,rm,| : 198
<1>,cd,ls,vi,| : 219
<1>,cd,m,rm,vi : 112
<1>,cd,mail,rm,vi : 111
<1>,cd,make,rm,vi : 160
<1>,cd,man,rm,vi : 166
<1>,cd,more,mv,rm : 126
<1>,cd,more,mv,vi : 123
<1>,cd,more,rm,vi : 194
<1>,cd,more,vi,| : 134
<1>,cd,mv,rm,vi : 305
<1>,cd,mv,rm,| : 143
<1>,cd,mv,vi,| : 142
<1>,cd,pwd,rm,vi : 128
<1>,cd,rm,vi,| : 182
<1>,cp,exit,ls,vi : 119
<1>,cp,ll,mv,rm : 118
<1>,cp,ll,rm,vi : 151
<1>,cp,ls,more,vi : 111
<1>,cp,ls,mv,rm : 180
<1>,cp,ls,mv,vi : 180
<1>,cp,ls,rm,vi : 217
<1>,cp,mv,rm,vi : 180
<1>,elm,exit,fg,ls : 127
<1>,elm,exit,ls,mail : 165
<1>,elm,exit,ls,rm : 208
<1>,elm,exit,ls,vi : 249
<1>,elm,exit,mail,vi : 112
<1>,elm,exit,rm,vi : 136
<1>,elm,fg,ls,more : 120
<1>,elm,fg,ls,rm : 139
<1>,elm,fg,ls,vi : 223
<1>,elm,fg,rm,vi : 130
<1>,elm,ls,mail,rm : 132
<1>,elm,ls,mail,vi : 187
<1>,elm,ls,more,rm : 143
<1>,elm,ls,more,vi : 182
<1>,elm,ls,mv,rm : 123
<1>,elm,ls,mv,vi : 129
<1>,elm,ls,rm,vi : 270
<1>,elm,more,rm,vi : 112
<1>,elm,mv,rm,vi : 111
<1>,exit,fg,ls,vi : 112
<1>,exit,ls,mail,vi : 124
<1>,exit,ls,more,rm : 111
<1>,exit,ls,more,vi : 157
<1>,exit,ls,mv,rm : 124
<1>,exit,ls,mv,vi : 121
<1>,exit,ls,rm,vi : 218
<1>,fg,ls,more,vi : 111
<1>,fg,ls,rm,vi : 140
<1>,grep,ls,rm,vi : 136
<1>,grep,ls,vi,| : 111
<1>,k,ll,m,rm : 116
<1>,k,ll,m,vi : 117
<1>,k,ll,m,z : 140
<1>,ll,ls,rm,vi : 125
<1>,ll,man,rm,vi : 111
<1>,ll,mv,rm,vi : 143
<1>,ls,mail,rm,vi : 132
<1>,ls,make,rm,vi : 115
<1>,ls,more,mv,rm : 130
<1>,ls,more,mv,vi : 125
<1>,ls,more,rm,vi : 201
<1>,ls,more,vi,| : 133
<1>,ls,mv,rm,vi : 247
<1>,ls,rm,vi,| : 139
<2>,<3>,cd,ll,rm : 131
<2>,<3>,cd,ll,vi : 114
<2>,<3>,cd,ls,rm : 122
<2>,<3>,cd,mv,rm : 121
<2>,<3>,cd,rm,vi : 132
<2>,>,cd,cp,rm : 134
<2>,>,cd,cp,vi : 127
<2>,>,cd,ll,rm : 153
<2>,>,cd,ll,vi : 136
<2>,>,cd,ls,rm : 154
<2>,>,cd,ls,vi : 133
<2>,>,cd,mv,rm : 134
<2>,>,cd,mv,vi : 125
<2>,>,cd,rm,vi : 171
<2>,>,ll,rm,vi : 117
<2>,cat,cd,ll,rm : 147
<2>,cat,cd,ll,vi : 144
<2>,cat,cd,rm,vi : 131
<2>,cat,ll,rm,vi : 112
<2>,cd,cp,elm,ls : 120
<2>,cd,cp,elm,vi : 121
<2>,cd,cp,exit,ls : 148
<2>,cd,cp,exit,vi : 115
<2>,cd,cp,grep,ll : 111
<2>,cd,cp,grep,rm : 119
<2>,cd,cp,grep,vi : 140
<2>,cd,cp,ll,ls : 128
<2>,cd,cp,ll,mv : 145
<2>,cd,cp,ll,rm : 195
<2>,cd,cp,ll,vi : 201
<2>,cd,cp,ls,more : 148
<2>,cd,cp,ls,mv : 232
<2>,cd,cp,ls,rm : 293
<2>,cd,cp,ls,vi : 332
<2>,cd,cp,ls,| : 112
<2>,cd,cp,make,rm : 114
<2>,cd,cp,more,vi : 113
<2>,cd,cp,mv,rm : 229
<2>,cd,cp,mv,vi : 226
<2>,cd,cp,rm,vi : 294
<2>,cd,cp,rm,| : 121
<2>,cd,cp,vi,| : 130
<2>,cd,elm,exit,ls : 170
<2>,cd,elm,exit,vi : 125
<2>,cd,elm,fg,ls : 145
<2>,cd,elm,fg,vi : 151
<2>,cd,elm,ls,mail : 116
<2>,cd,elm,ls,more : 133
<2>,cd,elm,ls,mv : 158
<2>,cd,elm,ls,rm : 198
<2>,cd,elm,ls,vi : 270
<2>,cd,elm,more,vi : 113
<2>,cd,elm,mv,rm : 128
<2>,cd,elm,mv,vi : 140
<2>,cd,elm,rm,vi : 185
<2>,cd,exit,ls,more : 130
<2>,cd,exit,ls,mv : 163
<2>,cd,exit,ls,rm : 201
<2>,cd,exit,ls,vi : 265
<2>,cd,exit,mv,rm : 117
<2>,cd,exit,mv,vi : 113
<2>,cd,exit,rm,vi : 143
<2>,cd,fg,ls,rm : 121
<2>,cd,fg,ls,vi : 174
<2>,cd,fg,rm,vi : 138
<2>,cd,finger,ls,vi : 121
<2>,cd,grep,ll,rm : 135
<2>,cd,grep,ll,vi : 156
<2>,cd,grep,ls,rm : 158
<2>,cd,grep,ls,vi : 199
<2>,cd,grep,ls,| : 125
<2>,cd,grep,mv,rm : 112
<2>,cd,grep,mv,vi : 132
